anourvalar/eloquent-serialize               1.3.1    Laravel Query Builder ...
sebastian/object-enumerator                 6.0.1    Traverses array struct...
sebastian/object-reflector                  4.0.1    Allows reflection of o...
sebastian/recursion-context                 6.0.2    Provides functionality...
sebastian/type                              5.1.2    Collection of value ob...
sebastian/version                           5.0.2    Library that helps wit...
spatie/color                                1.8.0    A little library to ha...
spatie/invade                               2.1.0    A PHP function to work...
spatie/laravel-package-tools                1.92.4   Tools for creating Lar...
spatie/laravel-permission                   6.17.0   Permission handling fo...
staabm/side-effects-detector                1.0.5    A static analysis tool...
symfony/clock                               7.2.0    Decouples applications...
symfony/console                             7.2.6    Eases the creation of ...
symfony/css-selector                        7.2.0    Converts CSS selectors...
symfony/deprecation-contracts               3.5.1    A generic function and...
symfony/error-handler                       7.2.5    Provides tools to mana...
symfony/event-dispatcher                    7.2.0    Provides tools that al...
symfony/event-dispatcher-contracts          3.5.1    Generic abstractions r...
symfony/finder                              7.2.2    Finds files and direct...
symfony/html-sanitizer                      7.2.6    Provides an object-ori...
symfony/http-foundation                     7.2.6    Defines an object-orie...
symfony/http-kernel                         7.2.6    Provides a structured ...
symfony/mailer                              7.2.6    Helps sending emails
symfony/mime                                7.2.6    Allows manipulating MI...
symfony/polyfill-ctype                      1.32.0   Symfony polyfill for c...
symfony/polyfill-intl-grapheme              1.32.0   Symfony polyfill for i...
symfony/polyfill-intl-idn                   1.32.0   Symfony polyfill for i...
symfony/polyfill-intl-normalizer            1.32.0   Symfony polyfill for i...
symfony/polyfill-mbstring                   1.32.0   Symfony polyfill for t...
symfony/polyfill-php80                      1.32.0   Symfony polyfill backp...
symfony/polyfill-php83                      1.32.0   Symfony polyfill backp...
symfony/polyfill-uuid                       1.32.0   Symfony polyfill for u...
symfony/process                             7.2.5    Executes commands in s...
symfony/routing                             7.2.3    Maps an HTTP request t...
symfony/service-contracts                   3.5.1    Generic abstractions r...
symfony/string                              7.2.6    Provides an object-ori...
symfony/translation                         7.2.6    Provides tools to inte...
symfony/translation-contracts               3.5.1    Generic abstractions r...
symfony/uid                                 7.2.0    Provides an object-ori...
symfony/var-dumper                          7.2.6    Provides mechanisms fo...
symfony/yaml                                7.2.6    Loads and dumps YAML f...
theseer/tokenizer                           1.2.3    A small library for co...
tijsverkoyen/css-to-inline-styles           2.3.0    CssToInlineStyles is a...
vlucas/phpdotenv                            5.6.2    Loads environment vari...
voku/portable-ascii                         2.0.3    Portable ASCII library...
webmozart/assert                            1.11.0   Assertions to validate...
